railroad,symbol,yard_id,yard,verb,block
BNSF,ALTRIC1-##A,1040,Clovis,set out,Clovis
BNSF,ALTSBD1-##A,1040,Clovis,set out,Clovis; Pick Up San Bernardino in
BNSF,ATGLAC9-##A,1040,Clovis,set out,Clovis
BNSF,CHISBD6-##L,1040,Clovis,set out,Clovis
BNSF,LACLPC6-##C,1040,Clovis,set out,Clovis; Pick Up LPK
BNSF,LACLPC6-##C,1040,Clovis,set out,LPC in
BNSF,MEMLAC1-##A,1040,Clovis,set out,Clovis; Pick Up Barstow
BNSF,MEMLAC1-##A,1040,Clovis,set out,Hobart in
BNSF,MEMRIC1-##A,1040,Clovis,set out,Clovis; Pick Up Mariposa
BNSF,MEMRIC1-##A,1040,Clovis,set out,Oakland BNSF in
BNSF,PHXCHI1-##A,1809,Fort Madison,set out,Ft. Madison
BNSF,PHXCHI1-##A,1040,Clovis,pick up,in
BNSF,SBDCHI6-##K1,1809,Fort Madison,set out,Ft. Madison
BNSF,STOATG6-##A,1040,Clovis,pick up,Fairburn
BNSF,STOATG6-##A,1040,Clovis,pick up,Jacksonville
BNSF,STOATG6-##A,1040,Clovis,pick up,Charlotte in
BNSF,STOCHI6-##A,1040,Clovis,set out,Clovis; Pick Up LPK
BNSF,STOCHI6-##A,1040,Clovis,set out,Corwtih in
BNSF,LACCXO1-##A,1040,Clovis,pick up,CSX destinations in
BNSF,RICCHI6-##A,1135,Belen,set out,Albuqerque
BNSF,LACATG6-##A,1040,Clovis,pick up,in
BNSF,PEALAC1-##C,1040,Clovis,set out,Clovis
BNSF,ALTCHI1-##A,1505,Logistics Park Chicago,set out,Logistics Park
BNSF,SBDALT6-##V1,1040,Clovis,set out,Clovis (block 2); pick up Alliance
BNSF,SBDALT6-##V1,1040,Clovis,set out,Pearland in
BNSF,SBDAUG6-##V,1040,Clovis,pick up,NS in
BNSF,SBDLPC6-##K1,1809,Fort Madison,set out,Ft. Madison
BNSF,CHCSSE2-##V,1584,Mandan,set out,NW Autorack
BNSF,CHCPTL1-##M,1584,Mandan,set out,NW Autorack
BNSF,CHIALT6-##V,1620,Kansas City Argentine Yard,pick up,Autoracks in proper
BNSF,CHICLO1-##A,1809,Fort Madison,pick up,Clovis per
BNSF,CHIPHX6-##V1,1135,Belen,set out,Albuquerque
BNSF,CHILAC6-##L8,1040,Clovis,set out,Clovis
BNSF,CHILAC7-##L8,1040,Clovis,set out,Clovis
BNSF,BELCHI6-##A,1040,Clovis,pick up,in assigned
BNSF,PTLALT6-##F3,1628,South Seattle Yard,pick up,in
BNSF,PTLALT6-##G1,1628,South Seattle Yard,pick up,in
BNSF,FTMLAC1-##A,1040,Clovis,set out,Clovis; Pick Up in
BNSF,FTMLAC1-##A,2454,Logistics Park Kansas City,set out,Logisitics Park Kansas City IM; Pick Up in
BNSF,ABQWSP9-##A,1040,Clovis,pick up,in
BNSF,SBDWSP4-##U,1040,Clovis,pick up,Logistics Park KC
BNSF,SBDWSP4-##U,1040,Clovis,pick up,Willow Springs in
BNSF,SBDCHI7-##A,1809,Fort Madison,set out,either of the foreign
BNSF,SBDWSP8-##A,1040,Clovis,set out,Clovis; Pick Up LPK
BNSF,SBDWSP8-##A,1040,Clovis,set out,Willow Springs in
BNSF,STOWSP7-##A,1040,Clovis,pick up,Logistics Park KC
BNSF,STOWSP7-##A,1040,Clovis,pick up,Willow Springs in
BNSF,CHCSSE8-##A,1742,Spokane Yardley,set out,Spokane
BNSF,SSECHC8-##A,1742,Spokane Yardley,set out,Spokane; Pick Up St. Paul
BNSF,SSECHC8-##A,1742,Spokane Yardley,set out,Cicero in
BNSF,PTLCHC8-##M,1742,Spokane Yardley,set out,Spokane; Pick Up St. Paul
BNSF,PTLCHC8-##M,1742,Spokane Yardley,set out,Cicero in
BNSF,PTLCHC8-##A,1742,Spokane Yardley,set out,Spokane; Pick Up St. Paul
BNSF,PTLCHC8-##A,1742,Spokane Yardley,set out,Cicero in
BNSF,LHGDEN1-##A,1040,Clovis,set out,Clovis
BNSF,SEACHC1-##A1,1215,La Crosse BNSF Yard,set out,La Crosse
BNSF,LBTCXO1-##L,1809,Fort Madison,set out,NS
BNSF,LBTCXO1-##L,1040,Clovis,pick up,CSX in
BNSF,LHACXO1-##L,1809,Fort Madison,set out,NS
BNSF,LHACXO1-##L,1040,Clovis,pick up,CSX in
BNSF,OIGCXO1-##C,1809,Fort Madison,set out,NS
BNSF,OIGCXO1-##C,1040,Clovis,pick up,CSX in
BNSF,LHWCXO1-##L,1809,Fort Madison,set out,NS
BNSF,LHWCXO1-##L,1040,Clovis,pick up,CSX in
BNSF,LHGCXO1-##L,1809,Fort Madison,set out,NS
BNSF,LHGCXO1-##L,1040,Clovis,pick up,CSX in
BNSF,SEACHC1-##B1,1215,La Crosse BNSF Yard,set out,La Crosse
BNSF,SEALPC1-##A,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,SEALPC1-##E1,1582,Minot Gavin Yard,set out,Minot
BNSF,SEALPC1-##E1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,SEALPC1-##B1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,SEAOMA1-##D1,1293,Lincoln Hobson Yard,set out,Fremont
BNSF,SEAOMA1-##D1,1293,Lincoln Hobson Yard,set out,NE
BNSF,SEASTP1-##B1,1582,Minot Gavin Yard,set out,Minot
BNSF,SEPLPC1-##A,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,SEPLPC1-##A,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,SEPLPC1-##A,1582,Minot Gavin Yard,set out,Minot
