railroad,symbol,yard,kind,block,next_train,members,resolved,yard_ids,unresolved
BNSF,ALTLAC1-##A,Clovis,at,Clovis,,Glendale and Albuquerque,,1040,Glendale and Albuquerque
BNSF,ALTLAC1-##A,Clovis,at,San Bernardino IM,,,id:1102 class:im,1040,
BNSF,ALTLAC1-##A,Clovis,at,Los Angeles Hobart IM,,,id:1007 class:im,1040,
BNSF,ALTRIC1-##A,Clovis,at,Clovis,,grouped by destination,,1040,
BNSF,ALTRIC1-##A,Clovis,at,Mariposa IM,,,id:1313 class:im,1040,
BNSF,ALTRIC1-##A,Clovis,at,Oakland BNSF IM,,,id:2237 class:im,1040,
BNSF,ALTSBD1-##A,Clovis,at,San Bernardino Loaded Autoracks2,,,,1040,San Bernardino Loaded Autoracks2
BNSF,ALTSBD1-##A,Clovis,at,San Bernardino IM,,,id:1102 class:im,1040,
BNSF,ALTSBD1-##A,Clovis,at,Gallup,Z-WINPHX,Glendale,id:1685,1040,
BNSF,ALTSBD1-##A,Clovis,at,Clovis,,"Albuquerque, Mariposa, Hobart - no international",id:1032 id:1313,1040,Hobart - no international
BNSF,ATGLAC9-##A,Springfield Yard BNSF,at,Clovis,,Glendale,id:1685,2861,
BNSF,ATGLAC9-##A,Springfield Yard BNSF,at,Clovis,,Mariposa,id:1313,2861,
BNSF,ATGLAC9-##A,Springfield Yard BNSF,at,Los Angeles Hobart,,,id:1007,2861,
BNSF,CHISBD6-##L,Clovis,at,San Bernardino Domestic,,,,1040,San Bernardino Domestic
BNSF,CHISBD6-##L,Clovis,at,Clovis Domestic fill,,,,1040,Clovis Domestic fill
BNSF,LACCHI6-##A,Logistics Park Kansas City,at,Logistics Park KC IM,,,id:2454 class:im,2454,
BNSF,LACCHI6-##A,Logistics Park Kansas City,at,Chicago Corwith IM,,,id:1072 class:im,2454,
BNSF,LACLPC6-##C,Logistics Park Kansas City,at,Clovis IM,,grouped by destination,,2454,
BNSF,LACLPC6-##C,Logistics Park Kansas City,at,Logistics Park KC IM,,,id:2454 class:im,2454,
BNSF,LACLPC6-##C,Logistics Park Kansas City,at,Logistics Park Chicago IM,,,id:1505 class:im,2454,
BNSF,MEMLAC1-##A,Clovis,at,Clovis,,"Mariposa IM, Oakland BNSF IM",id:1313 class:im id:2237 class:im,1040,
BNSF,MEMLAC1-##A,Clovis,at,Barstow IM,,,id:1029 class:im,1040,
BNSF,MEMLAC1-##A,Clovis,at,Los Angeles Hobart IM,,,id:1007 class:im,1040,
BNSF,MEMRIC1-##A,Clovis,at,Oakland BNSF,,,id:2237,1040,
BNSF,MEMRIC1-##A,Clovis,at,Mariposa,,,id:1313,1040,
BNSF,MEMRIC1-##A,Clovis,at,Clovis,,"Barstow, Los Angeles Hobart",id:1029 id:1007,1040,
BNSF,SBDCHI6-##K1,San Bernardino,leaving,Clovis,,leftover domestic traffic that needs to be forwarded to BNSF terminals,,1102,
BNSF,SBDCHI6-##K1,San Bernardino,leaving,Ft. Madison,,leftover domestic traffic that needs to be forwarded to NS/CSX over Chicago,,1102,
BNSF,SBDCHI6-##K1,San Bernardino,leaving,Corwith,,,id:1072,1102,
BNSF,SBDCHI7-##K1,San Bernardino,leaving,Corwith JB Hunt,,,,1102,Corwith JB Hunt
BNSF,STLLAC1-##A,Clovis,at,Clovis,,"non-Hobart, grouped by destination",,1040,non-Hobart
BNSF,STLLAC1-##A,Clovis,at,LA Hobart,,,id:1007,1040,
BNSF,STOALT6-##A,Belen,at,Clovis,,"non-Alliance/Mexico Eagle Pass, grouped by destination",,1135,non-Alliance/Mexico Eagle Pass
BNSF,LACPEA1-##A,Clovis,at,Clovis,,non-Pearland traffic,,1040,non-Pearland traffic
BNSF,LACPEA1-##A,Clovis,at,Pearland,,,id:1358,1040,
BNSF,STOCHI6-##A,Logistics Park Kansas City,at,Clovis,,"non-LPK/Corwith, grouped by destination",,2454,non-LPK/Corwith
BNSF,STOCHI6-##A,Logistics Park Kansas City,at,Logistics Park Kansas City,,,id:2454,2454,
BNSF,STOCHI6-##A,Logistics Park Kansas City,at,Chicago Corwith,,,id:1072,2454,
BNSF,LACCXO1-##A,Fort Madison,at,Fort Madison,,NS connections,,1809,
BNSF,LACCXO1-##A,Fort Madison,at,"South Kearney, NJ",,3294,id:3294,1809,
BNSF,LACCXO1-##A,Fort Madison,at,"W. Springfield, MA",,1002,id:1002,1809,
BNSF,LACCXO1-##A,Fort Madison,at,"Syracuse DeWitt, NY",,1625,id:1625,1809,
