id,lat,lon,rr,source
1001,33.829,-118.228,UP/BNSF/PHL,derived
1002,42.158186,-72.524014,"CSX,AMTK,CSO",derived
1008,43.61831,-70.298175,"CSXT, AMTK",derived
1009,40.72,-111.91,UP UTAH AMTK,derived
1014,33.779,-118.213,PHL,derived
1017,44.635344,-93.242021,"CP, PGR",derived
1021,36.7,-119.76,,derived
1025,38.899496,-77.005564,AMTK CSX MARC VRE,derived
1026,38.272196,-85.79807,NS,derived
1027,42.547724,-71.591433,"PAS,CSXT,MBTA",derived
1028,41.065747,-82.75585,"CSX, ASRY",derived
1029,34.897,-117.054,BNSF / UP / AMTK,derived
1030,42.659722,-73.781389,"CSX, CP, AMTK",derived
1033,44.788792,-68.85444,PAR,derived
1034,40.575898,-76.024378,RBMN,derived
1038,33.90953,-118.41064,UP BNSF,derived
1039,44.4208,-69.3844,PAR,derived
1040,34.4,-103.21,BNSF,derived
1042,34.274624,-85.154537,NS,derived
1044,32.495,-94.725,UP BNSF Amtrak,derived
1046,41.59,-93.581,UP,derived
1048,41.422584,-81.81072,"NS, AMTK, CSX, WE",derived
1055,41.70507,-87.57381,NS/CN/BRC/CRL/METRA/CSS,derived
1056,37.698742,-84.779155,NS,derived
1057,30.3645,-81.7268,NS CSX,derived
1061,35.319927,-84.525585,CSX,derived
1062,38.543227,-82.727093,CSX,derived
1063,39.212268,-76.563535,CSX,derived
1064,40.6063,-75.4336,"NS, CP",derived
1066,41.65105,-87.64024,"CSX,CN",derived
1070,45.117,-106.888,BNSF,derived
1071,44.052,-121.304,"BNSF, UP",derived
1073,41.109,-75.3816,DL,derived
1074,40.567983,-74.249407,CSAO,derived
1078,40.957,-80.366,CSX BPRR,derived
1079,39.558,-76.071,NS/Amtrak,derived
1081,34.238,-91.951,UP,derived
1084,32.5633,-90.0687,CN,derived
1085,39.471629,-87.414636,CSXT,derived
1086,39.499555,-87.360516,"CSXT, CP",derived
1087,39.438428,-87.389358,CSX,derived
1092,41.627,-87.536,IHB,derived
1095,34.01,-117.93,UP,derived
1098,41.781,-87.826,IHB BRC,derived
1102,34.1031,-117.326,"BNSF,UP,AMTK,SCRRA",derived
1104,33.06,-83.802,NS,derived
1108,40.754761,-74.066389,"NS, CSX, NJT, AMTRAK, ME, NYSW",derived
1111,42.5559040235,-73.840587607,CSXT,derived
1120,38.641681,-90.107526,"CSXT, TRRA, GWWR, NS, ALS, UP",derived
1121,42.786513,-73.98959,"CSX, CN",derived
1123,45.3502,-69.0618,"MMA, CN, CP, EMRY",derived
1124,46.0629,-68.0841,NBSR,derived
1126,26.735,-80.934,SCXF,derived
1128,40.708353,-73.890304,"NYA, CSX, CP, PW",derived
1130,32.9002,-79.9735,PTR CSX NS,derived
1131,39.609,-119.245,UP BNSF Amtrak,derived
1132,38.1625,-84.3254,NS,derived
1134,41.93,-91.69,CIC/UP/IAIS,derived
1137,35.969047,-78.861705,NS,derived
1141,39.53,-119.74,UP BNSF AMTK,derived
1144,42.32749,-122.87491,CORP,derived
1145,36.163,-80.172,NS,derived
1146,33.751,-118.261,BNSF,derived
1147,35.7344,-80.3425,NS,derived
1148,35.903492,-77.810853,CSX,derived
1149,33.748,-118.245,BNSF,derived
1150,35.037655,-78.88353,,derived
1151,41.426314,-96.490638,"UP, BNSF",derived
1152,33.726,-118.247,BNSF,derived
1153,32.538,-93.834,,derived
1155,47.976,-122.198,"BNSF (AMTK, SDRX)",derived
1158,40.87,-79.868,BPRR,derived
1159,37.957838,-87.611309,CSX,derived
1160,29.602,-97.471,TXGN,derived
1163,33.739,-118.259,BNSF,derived
1164,37.9328,-87.87,EVWR,derived
1167,41.495482,-81.717772,"NS,CSX,CHB,AMTK",derived
1171,38.098,-88.545,EVWR,derived
1175,36.092843,-80.23053,NS WSSB,derived
1178,38.484,-78.625,NS,derived
1181,42.26496,-83.131439,"CRSA, CN, DC",derived
1184,41.67,-103.1,BNSF,derived
1189,39.146709,-87.196665,INRD,derived
1191,39.092442,-87.39931,"CSX, INRD",derived
1195,39.004817,-87.605832,INRD,derived
1199,41.15,-102.98,UP,derived
1200,39.082538,-94.604845,BNSF/UP/KCS/KCT/Amtrak,derived
1206,40.392758,-82.491055,CUOH,derived
1208,32.863,-80.002,CSX NS PUCC,derived
1210,39.761089,-86.191113,"CSX, INRD, CIND, ISRR, AMTRAK",derived
1218,39.110189,-94.58954,UP/BNSF/KCS/KCT,derived
1220,37.184245,-88.776813,"BNSF, UP, CN",derived
1223,32.829,-79.952,CSXT,derived
1225,31.625212,-81.909698,NS,derived
1229,39.034,-94.647,UP,derived
1230,36.236817,-95.338932,UP,derived
1231,35.76101,-95.358124,"UP, BNSF",derived
1233,31.242817,-82.421059,CSXT,derived
1236,44.443,-105.533,,derived
1237,44.109,-105.332,,derived
1252,35.526,-108.75,BNSF/AMTK,derived
1255,34.066,-117.39,UP,derived
1257,35.5325,-78.2799,"CSX, NS, AMTRAK",derived
1265,32.1264,-110.8471,"UP, Amtrak",derived
1270,36.190809,-82.210761,,derived
1271,35.5365,-87.2011,TSRR,derived
1273,37.878,-81.986,CSX,derived
1274,35.24,-80.82,"NS, CSX",derived
1276,38.813,-90.829,NS,derived
1277,38.7,-90.22,NS,derived
1279,41.651,-87.551,NS,derived
1281,31.273909,-81.549109,NS,derived
1282,32.451,-93.798,UP,derived
1285,27.665,-99.499,UP,derived
1294,43.711,-105.306,"BNSF,UP",derived
1295,34.285,-83.823,NS AMTK,derived
1296,38.3931,-82.5739,"CSX, NS, KRT",derived
1300,38.591994,-90.145514,"ALS, TRRA, UP, KCS, BNSF, CN",derived
1303,34.114,-119.102,"UP, VCRR, AMTK",derived
1308,38.205,-81.506,KNWA,derived
1310,39.728786,-94.859598,"BNSF, UP",derived
1313,37.89902,-121.1665,,derived
1314,37.428,-82.246,NS,derived
1318,42.939,-82.401,CN CSX,derived
1321,35.125,-106.637,BNSF,derived
1323,38.583,-92.176,,derived
1325,40.755,-112.0,UP UTAH,derived
1327,44.41074,-105.46223,,derived
1328,44.388,-105.512,,derived
1330,44.3784,-105.44687,,derived
1332,39.18,-108.783,UP,derived
1337,28.48574,-81.16939,CSX,derived
1338,42.3754,-71.0781,"PAR, MBTA, CSX, Amtrak",derived
1339,41.69972,-93.04778,IAIS,derived
1340,41.58,-109.225,UP,derived
1342,38.701561,-90.157176,GCSX/TRRA/NS/UP/KCS/ALS,derived
1343,28.407,-80.757,FEC,derived
1344,37.743891,-82.205857,NS,derived
1346,40.61,-75.33,NS LVRB (set the IM terminal NS only),derived
1347,40.70898,-74.148,"NS, CSX, CR",derived
1349,40.414797,-80.065915,WE,derived
1351,38.473,-87.284,BNSF,derived
