shortline,partner,yard_id,yard_name,source,preferred
AA,CSX,2055,"Toledo Ottawa Yard, OH",derived,preferred
AA,CSX,2770,"Dundee, MI",derived,preferred
AA,NS,2055,"Toledo Ottawa Yard, OH",derived,preferred
AA,IORY,3898,"Diann, MI",derived,
AB,WE,3164,"Akron Brittain Yard, OH",derived,
ABCX,CSX,1787,"Birmingham Sloss Coke, AL",derived,
ABCX,NS,1787,"Birmingham Sloss Coke, AL",derived,
ABCX,NS,2423,"Birmingham ABC Coke, AL",derived,
ABWR,CSX,1787,"Birmingham Sloss Coke, AL",derived,
ABWR,NS,1787,"Birmingham Sloss Coke, AL",derived,
ACWR,CSX,1187,"Aberdeen CSX, NC",derived,
ACWR,CSX,1274,"Charlotte NS, NC",derived,
ACWR,NS,1274,"Charlotte NS, NC",derived,
AERC,PNWR,1823,"Albany, OR",derived,
AGR,BNSF,3702,"Amory BNSF, MS",derived,preferred
AGR,CPKC,3710,"Columbus Steel Dynamics CPKC, MS",derived,
AKMD,UP,1920,"North Little Rock UP, AR",derived,
ALS,CSX,1120,"E. St. Louis Rose Lake Yard, IL",derived,
ALS,CSX,1300,"E. St. Louis Gateway Yard, IL",derived,
ALS,CSX,1364,"E. St. Louis Madison Yard, IL",derived,
ALS,CPKC,1120,"E. St. Louis Rose Lake Yard, IL",derived,
ALS,CPKC,1300,"E. St. Louis Gateway Yard, IL",derived,
ALS,CPKC,1364,"E. St. Louis Madison Yard, IL",derived,
ALS,NS,1300,"E. St. Louis Gateway Yard, IL",derived,
ALS,NS,1364,"E. St. Louis Madison Yard, IL",derived,
ALS,UP,1120,"E. St. Louis Rose Lake Yard, IL",derived,preferred
ALS,UP,1300,"E. St. Louis Gateway Yard, IL",derived,preferred
ALS,UP,1364,"E. St. Louis Madison Yard, IL",derived,preferred
ALS,UP,2041,"Sauget Fox Terminal, IL",derived,preferred
ALS,UP,2903,"Granite City AA Siding, IL",derived,preferred
ALS,TRRA,1300,"E. St. Louis Gateway Yard, IL",derived,
ALS,TRRA,1364,"E. St. Louis Madison Yard, IL",derived,
AO,CSX,1900,"Grafton, WV",derived,
APD,CSX,1060,"Port of Albany, NY",derived,
AR,CSX,1187,"Aberdeen CSX, NC",derived,
ARC,NS,3781,"Statesville NS, NC",derived,
ASRY,CSX,1028,"Willard, OH",derived,
AVR,CSX,1521,"Pittsburgh Glenwood Yard, PA",derived,
AVR,NS,1521,"Pittsburgh Glenwood Yard, PA",derived,
AVR,NS,3952,"Pittsburgh Island Ave. Yard, PA",derived,
AVR,BPRR,1521,"Pittsburgh Glenwood Yard, PA",derived,
AVR,WE,1349,"Green Tree Rook Yard, PA",derived,
BB,NS,1525,"Crewe, VA",derived,
BB,NS,1861,"Chesapeake Portlock Yard, VA",derived,
BERX,CSX,1027,"Ayer Hill Yard, MA",derived,
BERX,CSX,1116,"Rotterdam Jct., NY",derived,
BERX,NS,1027,"Ayer Hill Yard, MA",derived,
BERX,NS,1117,"Schenectady Mohawk Yard, NY",derived,
BERX,NS,2057,"Mechanicville, NY",derived,
BERX,NECR,2274,"Bellows Falls, VT",derived,
BERX,NECR,2808,"Brattleboro, VT",derived,
BHRR,BNSF,1720,"Birmingham East Thomas Yard, AL",derived,
BHRR,CSX,1467,"Fairfield Works, AL",derived,
BHRR,CSX,1720,"Birmingham East Thomas Yard, AL",derived,
BHRR,CSX,1786,"Birmingham ACIPCO, AL",derived,
BHRR,NS,1467,"Fairfield Works, AL",derived,
BHS,IHB,1762,"Ports of Indiana Burns Harbor, IN",derived,
BJRY,BNSF,1901,"West Quincy, MO",derived,
BJRY,BNSF,3854,"Burlington, IA",derived,
BKRR,BERX,3176,"Eagle Bridge/Hoosick Jct, NY",derived,
BPRR,CN,2510,"Lackawanna, NY",derived,
BPRR,CPKC,1367,"Buffalo Bison Yard, NY",derived,
BPRR,CSX,1078,"New Castle CSX, PA",derived,
BPRR,CSX,1521,"Pittsburgh Glenwood Yard, PA",derived,
BPRR,CSX,2510,"Lackawanna, NY",derived,
BPRR,NS,1367,"Buffalo Bison Yard, NY",derived,
BPRR,NS,1521,"Pittsburgh Glenwood Yard, PA",derived,
BRC,BNSF,1072,"Chicago Corwith Yard, IL",derived,
BRC,BNSF,1473,"Chicago Clearing Yard, IL",derived,
BRC,BNSF,1606,"Chicago Bensenville Yard, IL",derived,
BRC,BNSF,1810,"Eola, IL",derived,
BRC,CN,1072,"Chicago Corwith Yard, IL",derived,
BRC,CN,1473,"Chicago Clearing Yard, IL",derived,
BRC,CN,1606,"Chicago Bensenville Yard, IL",derived,
BRC,CN,1632,"Chicago Glenn Yard, IL",derived,
BRC,CN,1810,"Eola, IL",derived,
BRC,CPKC,1473,"Chicago Clearing Yard, IL",derived,
BRC,CPKC,1606,"Chicago Bensenville Yard, IL",derived,
BRC,CSX,1473,"Chicago Clearing Yard, IL",derived,
BRC,CSX,1606,"Chicago Bensenville Yard, IL",derived,
BRC,NS,1072,"Chicago Corwith Yard, IL",derived,
BRC,NS,1473,"Chicago Clearing Yard, IL",derived,
BRC,NS,1515,"Chicago Commercial Ave Yard, IL",derived,
BRC,NS,1606,"Chicago Bensenville Yard, IL",derived,
BRC,UP,1473,"Chicago Clearing Yard, IL",derived,
BRC,UP,1606,"Chicago Bensenville Yard, IL",derived,
BRC,UP,1632,"Chicago Glenn Yard, IL",derived,
