id,name,source
1001,Los Angeles Dolores Yard/ICTF,scraped
1002,W. Springfield,scraped
1005,West Stockton,scraped
1006,Worcester CSX,scraped
1007,Los Angeles Hobart Yard,scraped
1008,Portland,scraped
1009,Salt Lake City Roper Yard,scraped
1010,Mojave,scraped
1013,Bakersfield Kern Jct.,scraped
1015,Bakersfield BNSF Yard,scraped
1016,Los Nietos,scraped
1020,Torrance,scraped
1021,Fresno UP Yard,scraped
1025,Washington Union Station,scraped
1026,Louisville Youngtown Yard,scraped
1027,Ayer Hill Yard,scraped
1028,Willard,scraped
1029,Barstow,scraped
1030,W. Albany Yard,scraped
1031,Albany CPKC,scraped
1032,Albuquerque Abajo Yard,scraped
1035,Guadalupe,scraped
1040,Clovis,scraped
1041,Searsport,scraped
1042,Rome Forrestville Yard,scraped
1043,Chattanooga Debutts Yard,scraped
1044,Longview UP,scraped
1045,Raleigh CSX Yard,scraped
1046,Des Moines Shortline Yard,scraped
1048,Cleveland Rockport Yard,scraped
1051,Gillette Yard,scraped
1055,Chicago Calumet Yard,scraped
1056,Danville,scraped
1057,Jacksonville Simpson Yard,scraped
1061,Etowah,scraped
1062,Russell,scraped
1064,Allentown,scraped
1066,Chicago Barr Yard,scraped
1069,Sheridan,scraped
1071,Bend,scraped
1072,Chicago Corwith Yard,scraped
1076,Tampa,scraped
1078,New Castle CSX,scraped
1079,Perryville Jct.,scraped
1080,Jay,scraped
1081,Pine Bluff,scraped
1082,Atlanta Inman Yard,scraped
1083,Richmond Acca Yard,scraped
1085,Terre Haute Duane Yard,scraped
1087,Terre Haute Baker Yard,scraped
1088,Chicago Kenton Line,scraped
1090,Los Angeles Harbor Jct.,scraped
1091,Fostoria Blair Yard,scraped
1094,Chicago Canal Street,scraped
1095,City of Industry,scraped
1096,Joliet,scraped
1097,Gardner,scraped
1098,Chicago Argo,scraped
1099,East Binghamton,scraped
1101,Chesapeake South Branch,scraped
1102,San Bernardino,scraped
1103,Los Angeles Harbor,scraped
1105,Jersey City South Kearny Yard,scraped
1108,Jersey City Croxton Yard,scraped
1109,Jersey City N Bergen Intermodal Terminal,scraped
1111,Selkirk Yard,scraped
1113,Detroit Warren,scraped
1115,Council Bluffs IAIS Yard,scraped
1116,Rotterdam Jct.,scraped
1117,Schenectady Mohawk Yard,scraped
1118,Jacksonville NS Auto Facility,scraped
1119,Raleigh Glenwood Yard,scraped
1120,E. St. Louis Rose Lake Yard,scraped
1121,South Schenectady,scraped
1122,Jacksonville Westlake Auto Facility,scraped
1123,Brownville Jct,scraped
1125,Mitchell,scraped
1127,Hamlet,scraped
1129,Colorado Springs,scraped
1130,North Charleston Port PR,scraped
1132,Georgetown Delaplain Yard,scraped
1135,Belen,scraped
1136,Apex,scraped
1137,East Durham NS,scraped
1139,Taylor,scraped
1140,Greensboro Pomona Yard,scraped
1141,Sparks UP,scraped
1143,Salisbury,scraped
1145,Walkertown,scraped
1147,Linwood Spencer Yard,scraped
1148,Rocky Mount,scraped
1151,Fremont UP,scraped
1153,Shreveport Deramus Yard,scraped
1155,Everett Delta Yard,scraped
1157,Richmond South Yard,scraped
1159,Evansville Howell Yard,scraped
1161,Chicago Yard Center,scraped
1162,Somerset,scraped
1167,Cleveland Whiskey Island,scraped
1173,Roanoke,scraped
1176,St. Paul Hoffman Yard,scraped
1177,Manassas,scraped
1178,Shenandoah,scraped
1181,Detroit River Rouge Yard,scraped
1183,St. Paul Dayton's Bluff Yard,scraped
1184,Bridgeport,scraped
1185,Cayce CSX,scraped
1187,Aberdeen,scraped
1189,Hiawatha Yard,scraped
1192,Los Angeles Redondo Jct.,scraped
1194,Becker,scraped
1195,Palestine,scraped
1197,Philadelphia Girard Point,scraped
1200,Kansas City Santa Fe Jct,scraped
1201,Fresno Calwa BNSF,scraped
1202,Jeffery Energy,scraped
1203,Los Angeles LATC,scraped
1205,Voltz,scraped
1208,Charleston Bennett Yard,scraped
1210,Indianapolis Transfer Yard,scraped
1212,E. St. Louis KCS Yard,scraped
1214,Kansas City Sheffield Interlocking,scraped
1215,La Crosse BNSF Yard,scraped
1217,La Crosse CPKC Yard,scraped
1218,Kansas City Gooseneck,scraped
1220,Metropolis,scraped
1222,Chicago 97th Street Yard,scraped
1224,Atlanta Howell Yard,scraped
1225,Jesup,scraped
1227,Kansas City Knoche Yard CPKC,scraped
1229,Kansas City 18th St. Yard,scraped
1230,Pryor,scraped
1231,Muskogee UP,scraped
1232,Denison,scraped
1233,Waycross Rice Yard,scraped
1236,Buckskin Mine,scraped
1237,Caballo Jct.,scraped
1244,Austell,scraped
1248,Gentry Flint Creek Power Plant,scraped
1250,Heavener,scraped
1251,Texarkana,scraped
1252,Gallup,scraped
1255,West Colton,scraped
1257,Selma NS,scraped
1259,East Point Industry Yard,scraped
1260,Effingham CSX,scraped
1261,Fairburn,scraped
1267,Marion BNSF,scraped
1268,Shelbyville,scraped
1269,Johnson City High Line Yard,scraped
1274,Charlotte NS,scraped
1275,Emporia,scraped
1276,Wentzville,scraped
1277,St. Louis Luther Yard,scraped
1278,Chicago Landers Yard,scraped
1279,Chicago Hegewisch,scraped
1280,Jackson High Oak Yard,scraped
1282,Shreveport Hollywood Yard,scraped
1285,Port Laredo Yard,scraped
1286,Meridian North Yard,scraped
1287,Marshalltown,scraped
1289,Mt. Holly,scraped
1290,Los Angeles Union Station,scraped
1291,Sterling,scraped
1292,Lincoln Grain Terminals,scraped
1293,Lincoln Hobson Yard,scraped
1294,Black Thunder Mine,scraped
1295,Gainesville NS,scraped
1297,Hagerstown Vardo Yard,scraped
1298,Lynchburg,scraped
1300,E. St. Louis Gateway Yard,scraped
1301,Kansas City Neff Yard,scraped
1302,Portland Albina Yard,scraped
1303,Oxnard/Pt. Hueneme,scraped
1305,Chicago Fordham,scraped
1306,Red Rock Power Plant,scraped
1310,St. Joseph BNSF,scraped
1311,Toronto Rexdale,scraped
1313,Mariposa,scraped
1320,Radford,scraped
1321,Hahn,scraped
1322,Bernalillo,scraped
1323,Jefferson City,scraped
1324,E. St. Louis Coapman Yard,scraped
1325,Salt Lake City Centennial Park,scraped
1327,Rawhide Mine,scraped
1328,Eagle Butte Mine,scraped
1330,Dry Fork Mine,scraped
1332,Grand Junction,scraped
1338,North Boston,scraped
1339,Newton,scraped
1341,Eddyville Ottumwa,scraped
1342,Granite City Smith Yard,scraped
1346,Bethlehem,scraped
1347,Newark Oak Island Yard,scraped
1351,Sioux City BNSF,scraped
1353,Stockton Mormon Yard,scraped
1354,Stockton UP,scraped
1355,West Cressona,scraped
1356,Alliance,scraped
1357,Saratoga Springs,scraped
1358,Pearland,scraped
1361,Orlando Taft Yard,scraped
1364,E. St. Louis Madison Yard,scraped
1367,Buffalo Bison Yard,scraped
1368,Hamilton Aberdeen Yard,scraped
1369,Toronto Obico Yard,scraped
1370,Toronto Lambton Yard,scraped
1372,Houston Englewood Yard,scraped
1375,Spring/Westfield,scraped
1376,Toronto Brampton,scraped
1379,Fort Wayne East Yard,scraped
1380,Fort Wayne Piqua Yard,scraped
1381,Roanoke GM Yard,scraped
1383,Houston Tower 86,scraped
1384,Detroit Oakwood Yard,scraped
1385,Rutherford Yard,scraped
1386,Portsmouth,scraped
1388,Savannah CSX Yard,scraped
