mother_id,member_id,kind,zone_px2,source
1182,1018,vid,23379,derived
1318,1019,yard,7133052,derived
1038,1020,yard,2494613,derived
1847,1023,yard,156775,derived
1030,1031,yard,1166000,derived
1033,1041,vid,11578,derived
1119,1045,yard,1554937,derived
1030,1050,yard,1336122,derived
1274,1052,yard,4562553,derived
1237,1053,yard,119737,derived
1281,1054,yard,5862269,derived
1295,1067,yard,2748859,derived
2036,1068,yard,4927432,derived
3490,1069,yard,104986,derived
1076,1075,vid,5731,derived
1036,1080,yard,8105315,derived
1072,1088,yard,90000,derived
1085,1089,vid,6380,derived
1203,1090,yard,679964,derived
1523,1093,yard,329000,derived
1472,1094,yard,263592,derived
1735,1097,yard,66126,derived
1099,1100,vid,7757,derived
1862,1101,vid,9860,derived
1767,1107,yard,14121850,derived
1918,1110,yard,9100475,derived
1274,1112,yard,105249,derived
1366,1113,yard,3347497,derived
1749,1114,vid,15577,derived
1767,1115,yard,18224100,derived
2057,1117,yard,278879,derived
1057,1118,yard,1783725,derived
1057,1122,yard,8185056,derived
1013,1133,yard,4764820,derived
1384,1138,vid,9381,derived
1749,1139,yard,7783149,derived
1145,1142,yard,4564325,derived
1056,1143,vid,6588,derived
1389,1146,yard,154800,derived
1389,1149,yard,252300,derived
1389,1152,yard,186200,derived
1033,1156,yard,3665234,derived
1524,1157,yard,1176182,derived
1332,1162,yard,5400000,derived
1389,1163,yard,252750,derived
1449,1165,yard,2121524,derived
1651,1168,vid,5876,derived
1070,1170,yard,162500,derived
1449,1172,yard,1412950,derived
1540,1176,yard,265669,derived
1822,1179,yard,7872900,derived
1220,1180,yard,6561365,derived
1540,1183,yard,100998,derived
1773,1186,yard,2909804,derived
1012,1188,yard,2989280,derived
1203,1190,yard,2761400,derived
1203,1192,vid,0,derived
1191,1193,yard,6000000,derived
1788,1197,vid,6962,derived
3647,1198,vid,6984,derived
4002,1202,yard,2210065,derived
1538,1204,vid,15000,derived
1206,1207,yard,6491236,derived
1187,1209,yard,2006829,derived
1786,1211,yard,14054008,derived
1300,1212,yard,3100000,derived
1789,1213,yard,3562000,derived
1034,1216,yard,2636946,derived
1215,1217,yard,2097900,derived
2336,1219,yard,2921000,derived
2809,1221,yard,2524266,derived
1055,1222,yard,12161857,derived
1919,1226,yard,8320390,derived
1200,1228,vid,5500,derived
1225,1234,yard,190265,derived
1225,1235,yard,61882,derived
1237,1238,yard,162086,derived
1181,1239,yard,1440000,derived
1225,1240,yard,4140099,derived
1154,1243,vid,30000,derived
1225,1246,yard,4140099,derived
3262,1248,yard,132086,derived
1729,1251,yard,3618839,derived
1470,1253,vid,5500,derived
1016,1254,vid,50,derived
1690,1256,yard,4456945,derived
2026,1260,yard,3278524,derived
1224,1262,yard,2400000,derived
1137,1263,yard,2597277,derived
1096,1264,vid,30000,derived
1034,1266,yard,4662103,derived
1220,1267,vid,30618,derived
1270,1269,yard,5400000,derived
1344,1272,yard,77635,derived
1867,1283,yard,2950075,derived
1281,1288,yard,10978376,derived
1203,1290,yard,319489,derived
