id,picker_position,mark,source
518,1,BNSF,picker
533,2,CN,picker
505,3,CPKC,picker
503,4,CSXT,picker
509,5,NS,picker
511,6,UP,picker
602,7,AA,picker
778,8,AB,picker
609,9,ABCX,picker
608,10,ABWR,picker
523,11,ACWR,picker
617,12,AERC,picker
663,13,AGR,picker
736,14,AKMD,picker
531,15,ALS,picker
539,16,AMTK,picker
638,17,AO,picker
780,18,APD,picker
522,19,AR,picker
621,20,ARC,picker
530,21,ARR,picker
642,22,ASRY,picker
739,23,AVR,picker
556,24,BB,picker
541,25,BHRR,picker
815,26,BHS,picker
635,27,BJRY,picker
779,28,BKRR,picker
722,29,BPRR,picker
545,30,BRC,picker
759,31,BSVY,picker
626,32,CA,picker
660,33,CAGY,picker
813,34,CBRL,picker
796,35,CCET,picker
785,36,CCH,picker
681,37,CCT,picker
725,38,CEMR,picker
532,39,CFE,picker
592,40,CFNR,picker
754,41,CGR,picker
712,42,CHB,picker
680,43,CIC,picker
657,44,CIND,picker
748,45,CJR,picker
701,46,CLC,picker
764,47,CLNA,picker
746,48,CMPA,picker
782,49,COER,picker
582,50,CORP,picker
627,51,CPR,picker
575,52,CRL,picker
603,53,CRMI,picker
565,54,CRNJ,picker
738,55,CRSJ,picker
524,56,CSI,picker
747,57,CSP,picker
576,58,CSS,picker
540,59,CTN,picker
637,60,CUOH,picker
512,61,CVR,picker
714,62,CWRO,picker
510,63,CWRY,picker
806,64,CWW,picker
590,65,DAIR,picker
599,66,DC,picker
610,67,DGNO,picker
526,68,DL,picker
564,69,DMVW,picker
702,70,DQE,picker
577,71,DREI,picker
612,72,DRIR,picker
801,73,DRR,picker
652,74,DT,picker
591,75,EE,picker
633,76,EIRR,picker
546,77,ESPN,picker
579,78,ETL,picker
693,79,ETRY,picker
645,80,EVWR,picker
737,81,FCEN,picker
506,82,FEC,picker
537,83,FGLK,picker
615,84,FIMX,picker
527,85,FMID,picker
797,86,FOXY,picker
795,87,FVRR,picker
624,88,FWWR,picker
639,89,GC,picker
552,90,GDLK,picker
704,91,GFRR,picker
646,92,GITM,picker
807,93,GJR,picker
594,94,GLC,picker
584,95,GO,picker
741,96,GOGR,picker
659,97,GRW,picker
675,98,GS,picker
665,99,GTRA,picker
751,100,GWRS,picker
726,101,GWWD,picker
705,102,HAL,picker
723,103,HCRY,picker
595,104,HESR,picker
517,105,IAIS,picker
683,106,IATR,picker
534,107,IHB,picker
677,108,IMRR,picker
800,109,IN,picker
514,110,INRD,picker
604,111,IORY,picker
597,112,IR,picker
656,113,ISRR,picker
727,114,ISW,picker
805,115,ITHR,picker
706,116,JAIL,picker
674,117,JXPT,picker
728,118,KAW,picker
802,119,KBSR,picker
655,120,KCT,picker
803,121,KJRY,picker
504,122,KNWA,picker
756,123,KO,picker
703,124,KRR,picker
671,125,KXHR,picker
520,126,LAJ,picker
548,127,LC,picker
812,128,LDRR,picker
572,129,LIRC,picker
814,130,LMIC,picker
770,131,LMR,picker
699,132,LRPA,picker
735,133,LRWN,picker
649,134,LRWY,picker
596,135,LSRC,picker
700,136,LVSW,picker
788,137,MCER,picker
732,138,MDS,picker
697,139,MER,picker
691,140,MET,picker
547,141,METX,picker
798,142,MGRI,picker
765,143,MNA,picker
573,144,MNBR,picker
580,145,MNNR,picker
583,146,MPLI,picker
574,147,MSRW,picker
630,148,MSTR,picker
707,149,NBSR,picker
733,150,NCIR,picker
589,151,NCRC,picker
768,152,NDW,picker
614,153,NECR,picker
688,154,NLR,picker
673,155,NOGC,picker
535,156,NOPB,picker
625,157,NPBL,picker
776,158,NWP,picker
644,159,NYA,picker
662,160,NYNJ,picker
799,161,NYOG,picker
529,162,NYSW,picker
685,163,OLB,picker
629,164,OPR,picker
542,165,OSRR,picker
567,166,OTVR,picker
709,167,OVRR,picker
643,168,PAL,picker
729,169,PAS,picker
816,170,PCHR,picker
519,171,PHL,picker
740,172,PHRR,picker
616,173,PNWR,picker
818,174,POHC,picker
593,175,POM,picker
654,176,PR,picker
653,177,PSAP,picker
686,178,PT,picker
631,179,PTRA,picker
682,180,PTRC,picker
549,181,PVJR,picker
750,182,PVRR,picker
561,183,PW,picker
528,184,RBMN,picker
717,185,RCPE,picker
558,186,RFCC,picker
767,187,RJCK,picker
809,188,RJCL,picker
634,189,RJCM,picker
766,190,RJCW,picker
724,191,RLK,picker
790,192,RNIR,picker
525,193,RPRC,picker
792,194,RRRR,picker
566,195,RRVW,picker
810,196,RSL,picker
794,197,RSOR,picker
618,198,RSR,picker
588,199,RWRR,picker
719,200,SAC,picker
640,201,SAPT,picker
551,202,SCAX,picker
687,203,SCIH,picker
777,204,SCRF,picker
730,205,SCXF,picker
689,206,SDIY,picker
666,207,SERA,picker
786,208,SGLR,picker
578,209,SJVR,picker
755,210,SKOL,picker
713,211,SL,picker
502,212,SLQ,picker
501,213,SLR,picker
775,214,SLRS,picker
772,215,SLWC,picker
607,216,SMV,picker
752,217,SORA,picker
731,218,SPP,picker
760,219,SRRR,picker
553,220,SRY,picker
773,221,SS,picker
716,222,STE,picker
698,223,STMA,picker
555,224,SVGX,picker
793,225,SVHO,picker
670,226,SWP,picker
664,227,TASD,picker
679,228,TCB,picker
581,229,TCWR,picker
554,230,TMBL,picker
804,231,TNER,picker
601,232,TPW,picker
515,233,TRRA,picker
641,234,TSRR,picker
696,235,TSU,picker
570,236,TVRM,picker
678,237,TZPR,picker
623,238,UCRY,picker
585,239,URR,picker
569,240,VIA,picker
676,241,VR,picker
650,242,VSOR,picker
500,243,VTR,picker
587,244,WE,picker
718,245,WSOR,picker
742,246,WSS,picker
647,247,WW,picker
