agreement,side,region,states,anchors,confidence,source
UP-CP 2004,CP,1,"ON;QC;NB;NS;NY;PA;NJ;VT;IL;WI;MI","Montreal, Toronto, Chicago (1/A), Wisconsin (1/B); Ontario east of Thunder Bay",medium,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,CP,2,"MN","eastern Minnesota (2/B), Twin Cities",medium,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,CP,3,"MB;ON;MN;ND","Manitoba, Thunder Bay westward, western Minnesota (3/B), North Dakota",medium,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,CP,4,"SK","Saskatchewan",high,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,CP,5,"AB","Alberta",high,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,CP,6,"BC","British Columbia, New Westminster",high,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,UP,A,"IL;IN;MO;AR;LA;TN","Chicago (1/A), St. Louis, Memphis, Louisiana",low,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,UP,B,"MN;WI;IA;NE;KS;OK;TX;MO","Minneapolis/St. Paul (1/B 2/B 3/B), Omaha, Kansas City, Texas",low,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,UP,C,"CO","Denver",medium,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,UP,D,"NM;TX","El Paso, west Texas",medium,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,UP,E,"AZ;CA","Arizona, southern California",medium,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,UP,F,"NV;UT","Nevada, Utah",medium,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,UP,G,"CA","northern California",medium,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,UP,H,"ID;UT","Idaho, northern Utah",low,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,UP,I,"WA;OR;ID","eastern Washington and Oregon, Eastport/Kingsgate",low,pdf-up-shortline-cp-routing.pdf p1
UP-CP 2004,UP,J,"WA;OR","Pacific coast Washington and Oregon",low,pdf-up-shortline-cp-routing.pdf p1
UP-CSX 2009,CSX,A,"NY;NJ;PA;MD;DE;DC;CT;MA;RI;VT;NH;ME;OH;MI;WV;QC;ON","Selkirk, Buffalo, New York, Philadelphia, Baltimore, Washington DC, Pittsburgh, Cumberland, Cleveland, Columbus, Detroit, Montreal",medium,pdf-up-shortline-csx-routing.pdf p1
UP-CSX 2009,CSX,B,"GA;FL;AL;MS;SC","Atlanta, Waycross, Savannah, Jacksonville, Tampa, Miami, Mobile, Pensacola, Birmingham, Charleston",medium,pdf-up-shortline-csx-routing.pdf p1
UP-CSX 2009,CSX,C,"VA;NC","Richmond, Norfolk, Hamlet, Wilmington",medium,pdf-up-shortline-csx-routing.pdf p1
UP-CSX 2009,CSX,D,"TN;KY","Nashville; Kentucky south of the Ohio Valley",low,pdf-up-shortline-csx-routing.pdf p1
UP-CSX 2009,CSX,E,"IN;OH;KY","Avon, Cincinnati, Louisville (Ohio Valley)",medium,pdf-up-shortline-csx-routing.pdf p1
UP-CSX 2009,UP,PW,"MN;WI;IA;NE;SD;ND;IL;MO","Proviso West: Proviso, Minneapolis/St. Paul, Duluth, Des Moines, Omaha, North Platte",medium,pdf-up-shortline-csx-routing.pdf p1
UP-CSX 2009,UP,NPW,"WA;OR;ID;MT;WY;UT;NV;CO;CA","North Platte West: Seattle, Portland, Hinkle, Pocatello, Salt Lake City, Cheyenne, Denver, Reno, Roseville, Oakland, Fresno, Las Vegas",medium,pdf-up-shortline-csx-routing.pdf p1
